sex,height,age,graduate,local,home,work,read,vote
1,0.675,-0.162,0.132,0.321,-0.156,0.054,-0.191,0.218
0.627,1,-0.207,0.144,0.191,-0.241,-0.023,-0.038,0.231
-0.162,-0.207,1,0.163,-0.145,-0.005,0.068,-0.202,-0.204
0.132,0.144,0.163,1,0.468,-0.193,0.093,-0.004,0.255
0.321,0.191,-0.145,0.468,1,-0.103,0.22,0.213,0.452
-0.156,-0.241,-0.005,-0.193,-0.103,1,0.337,-0.02,-0.154
0.054,-0.023,0.068,0.093,0.22,0.337,1,0.119,0.187
-0.191,-0.038,-0.202,-0.004,0.213,-0.02,0.119,1,0.48
0.218,0.231,-0.204,0.255,0.452,-0.154,0.187,0.48,1
